name,quadrant,ring,isNew,description
Puppeteer,Languages-and-Frameworks,Adopt,TRUE,"<p><strong>Puppeteer</strong> provides an API to control a (headless) Chrome.</p><p>Developers are able to generate screenshots and PDFs of pages, crawl their contents and automate keyboard input, form submission and more.</p><p>Puppeteer can help to automate UI testing and offers some nice-to-have features, which can ease the daily life of developers.</p><p>We use Puppeteer in (at least) two website projects for the processing and rendering of static pages.</p>"
GraphQL,Languages-and-Frameworks,Adopt,TRUE,"<p><strong>GraphQL</strong> is a language for querying databases from client-side applications and offers an alternative to the usage of RESTful APIs.</p><p>Developers are able to make precise data requests and obtain no more and no less, but exactly what they need.</p><p>This reduces network traffic and makes the developer's life easier, since he knows what data he can expect and work with.</p><p>We could already evaluate GraphQL in a strategic project and decided that we can profit from it.</p>"
Node.js,Languages-and-Frameworks,Adopt,TRUE,"<p>dummy</p>"
ES Modules,Languages-and-Frameworks,Assess,TRUE,"<p><strong>ES Modules</strong>: Currently, most of the browsers already support the use of ES modules. And, of course, Node.js couldn’t stay back and now fully supports ECMAScript modules as they are currently specified and provides limited interoperability between them and the existing module format, CommonJS. ECMAScript modules are the official standard format to package JavaScript code for reuse. Modules are defined using a variety of import and export statements.</p><p><strong>Dynamic imports</strong> This feature solves a lot of headaches and waste of money related to the app’s performance. It helps to, and allows to, load modules dynamically. In other words, on-demand by using promises or the async/await syntax</p>"
Web Assembly,Languages-and-Frameworks,Assess,TRUE,"<p><strong>Web Assembly (Wasm)</strong> can reduce quite a bit the battery consumption on mobile devices (depending on the engine), since most of the processing steps have been completed ahead of time during compilation. With Web Assembly, we’ll be able to push some of the heaviest processing and rendering into a language that is better suited for the job.</p><p>The Wasm stack machine is designed to be encoded in a size- and load-time-efficient binary format which may save loading times.</p>"
Houdini,Languages-and-Frameworks,Assess,TRUE,"<p><strong>Houdini</strong> gives developers access to the CSS object model (CSSOM) for the very first time. Instead of updating styles in JavaScript, developers can write code that the browser understands and can parse as CSS!</p>"
Vue.JS,Languages-and-Frameworks,Adopt,FALSE,"<p>Vue is a progressive framework for building user interfaces. Unlike other monolithic frameworks, Vue is designed from the ground up to be incrementally adoptable.</p>"
React,Languages-and-Frameworks,Adopt,FALSE,"<p>React makes it painless to create interactive UIs. Design simple views for each state in your application, and React will efficiently update and render just the right components when your data changes.</p>"
Java beyond 8,Languages-and-Frameworks,Trial,TRUE,"<p><strong>Java</strong> is the language of choice for us for building more complex applications or where a traditional Java-based CMS is used.</p><p>Java 8 is already aged but it is still the version we use in most active projects. LTS will eventually run out and we will have to update to more current versions. Besides that many new interresting features were introduced which could help us for simplicity, clarity or effectivness.</p><p>Since we know Java in general very well, we should directly use it in real projects to identify the real pros and cons of post version 8 features</p>"
RxJS,Languages-and-Frameworks,Trial,TRUE,"<p>RxJS is a library for reactive programming using Observables, to make it easier to compose asynchronous or callback-based code.</p>"
